agency_fdid,basic_incident_number_fd1,basic_incident_date_original_fd13,basic_incident_year_fd13,basic_incident_type_code_fd121,basic_incident_type_fd121,basic_aid_given_or_received_code_fd122,basic_aid_given_or_received_fd122,basic_property_use_category_fd146,basic_property_use_code_fd146,basic_property_use_fd146,basic_incident_full_street_address,basic_incident_city_name_fd116,basic_incident_state_fd118,basic_incident_postal_code_fd119,incident_number_original,incident_year,incident_number_cleaned
25115,2025000002,2025-01-01,2025.0,554.0,Assist invalid,,,4 - Residential,429,Multifamily dwelling,991 TAYLOR STATION Road,Gahanna,OH,43230,2025000002,2025,2025000002
25115,2025000001,2025-01-01,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,7883 PRAIRIE WILLOW Drive,Blacklick,OH,43004,2025000001,2025,2025000001
25115,202401298,2024-08-04,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,7335 Stone Gate  Drive,New Albany,OH,43054,202401298,2024,202401298
25115,2024002258,2024-12-31,2024.0,611.0,Dispatched and cancelled en route,2.0,Automatic aid received,,,,4482 JOHNSTOWN Road,Gahanna,OH,43230,2024002258,2024,2024002258
25115,2024002257,2024-12-31,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,6253 HEADLEY HEIGHTS Court,Gahanna,OH,43230,2024002257,2024,2024002257
25115,2024002256,2024-12-31,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,6791 East BROAD Street,Reynoldsburg,OH,43068,2024002256,2024,2024002256
25115,2024002255,2024-12-31,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,450 PRESERVATION Lane,Gahanna,OH,43230,2024002255,2024,2024002255
25115,2024002254,2024-12-31,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,7988 WAGGONER TRACE Drive,Blacklick,OH,43004,2024002254,2024,2024002254
25115,2024002253,2024-12-30,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,1249 HARKERS Court,New Albany,OH,43054,2024002253,2024,2024002253
25115,2024002252,2024-12-30,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,403 LIBERTY Way,Gahanna,OH,43230,2024002252,2024,2024002252
25115,2024002251,2024-12-30,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,6609 KARSTEN Place,Blacklick,OH,43004,2024002251,2024,2024002251
25115,2024002250,2024-12-30,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8201 HAVENS Road,Blacklick,OH,43004,2024002250,2024,2024002250
25115,2024002249,2024-12-30,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7055 CLARK STATE Road,Blacklick,OH,43004,2024002249,2024,2024002249
25115,2024002248,2024-12-30,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7764 FREESIA Street,Blacklick,OH,43004,2024002248,2024,2024002248
25115,2024002247,2024-12-29,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8151 GRANT PARK Avenue,Blacklick,OH,43004,2024002247,2024,2024002247
25115,2024002246,2024-12-29,2024.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,8400 CREEK HOLLOW Road,Blacklick,OH,43004,2024002246,2024,2024002246
25115,2024002245,2024-12-29,2024.0,322.0,Motor vehicle accident with injuries,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",CLARK STATE Road and CLARK STATE RD / N WAGGONER RD,JEFFERSON TWP,OH,43054,2024002245,2024,2024002245
25115,2024002244,2024-12-29,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,6418 HAVENS CORNERS Road,Blacklick,OH,43004,2024002244,2024,2024002244
25115,2024002243,2024-12-29,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,716 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004,2024002243,2024,2024002243
25115,2024002242,2024-12-28,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1227 CLOVERVIEW Street,Blacklick,OH,43004,2024002242,2024,2024002242
25115,2024002241,2024-12-28,2024.0,311.0,"Medical assist, assist EMS crew",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,1227 CANTERHURST Street,Blacklick,OH,43004,2024002241,2024,2024002241
25115,2024002240,2024-12-28,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230,2024002240,2024,2024002240
25115,2024002239,2024-12-28,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,510 WATERBURY Boulevard,Gahanna,OH,43230,2024002239,2024,2024002239
25115,2024002238,2024-12-28,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,4386 TARRYTOWN Court,New Albany,OH,43054,2024002238,2024,2024002238
25115,2024002237,2024-12-28,2024.0,911.0,Citizen complaint,,,4 - Residential,419,1 or 2 family dwelling,7073 North HAVENS CORNERS Road,Blacklick,OH,43004,2024002237,2024,2024002237
25115,2024002236,2024-12-28,2024.0,553.0,Public service,,,4 - Residential,419,1 or 2 family dwelling,3586 MANN Road,Blacklick,OH,43004,2024002236,2024,2024002236
25115,2024002235,2024-12-28,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,861 FALCON HUNTER Way,Gahanna,OH,43230,2024002235,2024,2024002235
25115,2024002234,2024-12-28,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7429 TREVENIA Drive,Blacklick,OH,43004,2024002234,2024,2024002234
25115,2024002233,2024-12-27,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7577 CLARK STATE Road,Blacklick,OH,43004,2024002233,2024,2024002233
25115,2024002232,2024-12-27,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7429 TREVENIA Drive,Blacklick,OH,43004,2024002232,2024,2024002232
25115,2024002231,2024-12-27,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7346 East BROAD Street,Blacklick,OH,43004,2024002231,2024,2024002231
25115,2024002230,2024-12-27,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,600 CROSS POINTE Road,Gahanna,OH,43230,2024002230,2024,2024002230
25115,2024002229,2024-12-26,2024.0,412.0,Gas leak (natural gas or LPG),4.0,Automatic aid given,4 - Residential,419,1 or 2 family dwelling,341 EDDINGTON Drive,Pataskala,OH,43062,2024002229,2024,2024002229
25115,2024002228,2024-12-26,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,930 SUZANNE Way,Blacklick,OH,43004,2024002228,2024,2024002228
25115,2024002227,2024-12-26,2024.0,531.0,Smoke or odor removal,4.0,Automatic aid given,,,,175 HELEN Road Southwest,Pataskala,OH,43062,2024002227,2024,2024002227
25115,2024002226,2024-12-26,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,2198 MINK Street Southwest,Pataskala,OH,43062,2024002226,2024,2024002226
25115,2024002225,2024-12-26,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8311 MORSE Road,New Albany,OH,43054,2024002225,2024,2024002225
25115,2024002224,2024-12-26,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1184 BELHAVEN Drive,Blacklick,OH,43004,2024002224,2024,2024002224
25115,2024002223,2024-12-25,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,1250 JENSEN PARK Drive,New Albany,OH,43054,2024002223,2024,2024002223
25115,2024002222,2024-12-25,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1189 JAYHAWK Street,Blacklick,OH,43004,2024002222,2024,2024002222
25115,2024002221,2024-12-25,2024.0,6711.0,Odor of gas - nothing found,4.0,Automatic aid given,4 - Residential,419,1 or 2 family dwelling,335 REGENCY Avenue,Pataskala,OH,43062,2024002221,2024,2024002221
25115,2024002220,2024-12-25,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7930 JEFFERSON Run,Blacklick,OH,43004,2024002220,2024,2024002220
25115,2024002219,2024-12-25,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,114 ROCKY CREEK Drive,Gahanna,OH,43230,2024002219,2024,2024002219
25115,2024002218,2024-12-25,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7883 PRAIRIE WILLOW Drive,Blacklick,OH,43004,2024002218,2024,2024002218
25115,2024002217,2024-12-25,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",JEFFERSON Run and ASPEN RIDGE DR,JEFFERSON TWP,OH,43004,2024002217,2024,2024002217
25115,2024002216,2024-12-24,2024.0,611.0,Dispatched and cancelled en route,,,,,,7501 MORSE Road,New Albany,OH,43054,2024002216,2024,2024002216
25115,2024002215,2024-12-24,2024.0,6712.0,"CO Investigation, no detector - nothing found",,,4 - Residential,419,1 or 2 family dwelling,7913 BLACKLICK VIEW Drive,Blacklick,OH,43004,2024002215,2024,2024002215
25115,2024002214,2024-12-24,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8235 HAVENS CORNERS Road,Blacklick,OH,43004,2024002214,2024,2024002214
25115,2024002213,2024-12-24,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,661 JUNIPER Lane,Gahanna,OH,43230,2024002213,2024,2024002213
25115,2024002212,2024-12-24,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8171 ROYAL ELM Drive,Blacklick,OH,43004,2024002212,2024,2024002212
25115,2024002211,2024-12-24,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7594 ASDEN Court,Reynoldsburg,OH,43068,2024002211,2024,2024002211
25115,2024002210,2024-12-24,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,2941 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004,2024002210,2024,2024002210
25115,2024002209,2024-12-24,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,2507 ASHCROFT Loop,Blacklick,OH,43004,2024002209,2024,2024002209
25115,2024002208,2024-12-23,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8346 KENNEDY Road,Blacklick,OH,43004,2024002208,2024,2024002208
25115,2024002207,2024-12-23,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,7163 East BROAD Street,Blacklick,OH,43004,2024002207,2024,2024002207
25115,2024002206,2024-12-23,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,8 - Storage,891,Warehouse,8455 East BROAD Street,Reynoldsburg,OH,43068,2024002206,2024,2024002206
25115,2024002205,2024-12-23,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,180 ROYAL FARM East,Blacklick,OH,43004,2024002205,2024,2024002205
25115,2024002204,2024-12-23,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,1365 STONERIDGE Drive,Gahanna,OH,43230,2024002204,2024,2024002204
25115,2024002203,2024-12-23,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,500 North HAMILTON Road,Gahanna,OH,43230,2024002203,2024,2024002203
25115,2024002202,2024-12-23,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,2950 CREEKWOOD ESTATES Drive,Blacklick,OH,43004,2024002202,2024,2024002202
25115,2024002201,2024-12-23,2024.0,553.0,Public service,,,4 - Residential,419,1 or 2 family dwelling,7973 HEADWATER Drive,Blacklick,OH,43004,2024002201,2024,2024002201
25115,2024002200,2024-12-23,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,50 WICKFIELD Road,Blacklick,OH,43004,2024002200,2024,2024002200
25115,2024002199,2024-12-22,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,6418 HAVENS CORNERS Road,Blacklick,OH,43004,2024002199,2024,2024002199
25115,2024002198,2024-12-22,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,429,Multifamily dwelling,904 TAYLOR STATION Road,Gahanna,OH,43230,2024002198,2024,2024002198
25115,2024002197,2024-12-22,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,429,Multifamily dwelling,904 TAYLOR STATION Road,Gahanna,OH,43230,2024002197,2024,2024002197
25115,2024002196,2024-12-22,2024.0,745.0,"Alarm system activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,7815 FREESIA Street,Blacklick,OH,43004,2024002196,2024,2024002196
25115,2024002195,2024-12-22,2024.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,3583 PAMELA Drive,Gahanna,OH,43230,2024002195,2024,2024002195
25115,2024002194,2024-12-22,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,222 DEER TRAIL Road,Reynoldsburg,OH,43068,2024002194,2024,2024002194
25115,2024002193,2024-12-22,2024.0,553.0,Public service,,,4 - Residential,419,1 or 2 family dwelling,6976 AIKEN Place,Blacklick,OH,43004,2024002193,2024,2024002193
25115,2024002192,2024-12-22,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1133 BELHAVEN Drive,Blacklick,OH,43004,2024002192,2024,2024002192
25115,2024002191,2024-12-22,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,460 WATERBURY Court,Gahanna,OH,43230,2024002191,2024,2024002191
25115,2024002190,2024-12-22,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7630 HAVENS CORNERS Road,Blacklick,OH,43004,2024002190,2024,2024002190
25115,2024002189,2024-12-22,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,8 - Storage,891,Warehouse,8525 East BROAD Street,Reynoldsburg,OH,43068,2024002189,2024,2024002189
25115,2024002188,2024-12-22,2024.0,733.0,Smoke detector activation due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,6976 AIKEN Place,Blacklick,OH,43004,2024002188,2024,2024002188
25115,2024002187,2024-12-21,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,1183 GWYNDALE Drive,New Albany,OH,43054,2024002187,2024,2024002187
25115,2024002186,2024-12-20,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7796 JEFFERSON Run,Blacklick,OH,43004,2024002186,2024,2024002186
25115,2024002185,2024-12-20,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,9057 FARLINGTON Drive,Blacklick,OH,43004,2024002185,2024,2024002185
25115,2024002184,2024-12-20,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,6175 HEADLEY Road,Gahanna,OH,43230,2024002184,2024,2024002184
25115,2024002183,2024-12-20,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,426 HOWLAND Drive,Gahanna,OH,43230,2024002183,2024,2024002183
25115,2024002182,2024-12-20,2024.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,7594 ASDEN Court,Reynoldsburg,OH,43068,2024002182,2024,2024002182
25115,2024002181,2024-12-19,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7594 ASDEN Court,Reynoldsburg,OH,43068,2024002181,2024,2024002181
25115,2024002180,2024-12-19,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8531 PADDOCK Trail,Blacklick,OH,43004,2024002180,2024,2024002180
25115,2024002179,2024-12-19,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7296 MENAI Way,Blacklick,OH,43004,2024002179,2024,2024002179
25115,2024002178,2024-12-19,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",9237 PICKENS Drive,Blacklick,OH,43004,2024002178,2024,2024002178
25115,2024002177,2024-12-19,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,6740 WALNUT Street,New Albany,OH,43054,2024002177,2024,2024002177
25115,2024002176,2024-12-19,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,402 LIBERTY Way,Gahanna,OH,43230,2024002176,2024,2024002176
25115,2024002175,2024-12-19,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230,2024002175,2024,2024002175
25115,2024002174,2024-12-19,2024.0,553.0,Public service,,,4 - Residential,419,1 or 2 family dwelling,1106 POPPY HILLS Drive,Blacklick,OH,43004,2024002174,2024,2024002174
25115,2024002173,2024-12-19,2024.0,111.0,Building fire,2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,6986 HAVENS CORNERS Road,Blacklick,OH,43004,2024002173,2024,2024002173
25115,2024002172,2024-12-19,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,780 TAYLOR Road,Gahanna,OH,43230,2024002172,2024,2024002172
25115,2024002171,2024-12-18,2024.0,651.0,"Smoke scare, odor of smoke",,,4 - Residential,419,1 or 2 family dwelling,7813 ANSANTE Drive,New Albany,OH,43054,2024002171,2024,2024002171
25115,2024002170,2024-12-18,2024.0,735.0,Alarm system sounded due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,334 ROCKY SPRINGS Drive,Blacklick,OH,43004,2024002170,2024,2024002170
25115,2024002169,2024-12-18,2024.0,554.0,Assist invalid,4.0,Automatic aid given,,,,733 WALNUT GROVE Court,Blacklick,OH,43004,2024002169,2024,2024002169
25115,2024002168,2024-12-18,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,831 ACORN GROVE Drive,Blacklick,OH,43004,2024002168,2024,2024002168
25115,2024002167,2024-12-18,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,501 MORRISON Road,Gahanna,OH,43230,2024002167,2024,2024002167
25115,2024002166,2024-12-18,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,1188 CALDERDALE Street,Blacklick,OH,43004,2024002166,2024,2024002166
25115,2024002165,2024-12-18,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,400,"Residential, other",7335 HAVENS CORNERS Road,Blacklick,OH,43004,2024002165,2024,2024002165
25115,2024002164,2024-12-18,2024.0,733.0,Smoke detector activation due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,8584 BEN HALE Court,Blacklick,OH,43004,2024002164,2024,2024002164
25115,2024002163,2024-12-18,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",North WAGGONER Road and ROYAL ELM DR,JEFFERSON TWP,OH,43004,2024002163,2024,2024002163
25115,2024002162,2024-12-18,2024.0,651.0,"Smoke scare, odor of smoke",2.0,Automatic aid received,4 - Residential,400,"Residential, other",1293 GLENBEACOME Street,Blacklick,OH,43004,2024002162,2024,2024002162
25115,2024002161,2024-12-17,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,429,Multifamily dwelling,15 BIGWOOD Loop,Blacklick,OH,43004,2024002161,2024,2024002161
25115,2024002160,2024-12-17,2024.0,324.0,Motor vehicle accident with no injuries.,,,9 - Outside or Special Property,963,Street or road in commercial area,North WAGGONER Road and ALMOND PARK DR,JEFFERSON TWP,OH,43004,2024002160,2024,2024002160
25115,2024002159,2024-12-17,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1244 CANTERHURST Street,Blacklick,OH,43004,2024002159,2024,2024002159
25115,2024002158,2024-12-17,2024.0,6711.0,Odor of gas - nothing found,,,4 - Residential,400,"Residential, other",7813 ANSANTE Drive,New Albany,OH,43054,2024002158,2024,2024002158
25115,2024002157,2024-12-17,2024.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,8069 BEARDSLEY Avenue,Blacklick,OH,43004,2024002157,2024,2024002157
25115,2024002156,2024-12-17,2024.0,324.0,Motor vehicle accident with no injuries.,2.0,Automatic aid received,9 - Outside or Special Property,963,Street or road in commercial area,HAVENS CORNERS Road and N WAGGONER RD,JEFFERSON TWP,OH,43004,2024002156,2024,2024002156
25115,2024002155,2024-12-17,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,8219 MARWITHE Court,New Albany,OH,43054,2024002155,2024,2024002155
25115,2024002154,2024-12-17,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,6980 East BROAD Street,Blacklick,OH,43004,2024002154,2024,2024002154
25115,2024002153,2024-12-17,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7764 FREESIA Street,Blacklick,OH,43004,2024002153,2024,2024002153
25115,2024002152,2024-12-16,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1474 COMMONWEALTH Drive,Blacklick,OH,43004,2024002152,2024,2024002152
25115,2024002151,2024-12-16,2024.0,322.0,Motor vehicle accident with injuries,4.0,Automatic aid given,,,,JOHNSTOWN Road and JAMES RIVER RD,NEW ALBANY,OH,43054,2024002151,2024,2024002151
25115,2024002150,2024-12-16,2024.0,324.0,Motor vehicle accident with no injuries.,4.0,Automatic aid given,9 - Outside or Special Property,963,Street or road in commercial area,THOMPSON Road and JOHNSTOWN RD,NEW ALBANY,OH,43004,2024002150,2024,2024002150
25115,2024002149,2024-12-16,2024.0,611.0,Dispatched and cancelled en route,,,,,,8100 SMITHS MILL Road,New Albany,OH,43054,2024002149,2024,2024002149
25115,2024002148,2024-12-16,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,4101 SUMMIT Road Southwest,Pataskala,OH,43062,2024002148,2024,2024002148
25115,2024002147,2024-12-16,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,7276 SUMMIT Road Southwest,Pataskala,OH,43062,2024002147,2024,2024002147
25115,2024002146,2024-12-16,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,7417 SKERRYDOON Lane,Blacklick,OH,43004,2024002146,2024,2024002146
25115,2024002145,2024-12-16,2024.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,616 HINES Road,Gahanna,OH,43230,2024002145,2024,2024002145
25115,2024002144,2024-12-16,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230,2024002144,2024,2024002144
25115,2024002143,2024-12-16,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,5304 SUMMIT Road Southwest,Pataskala,OH,43062,2024002143,2024,2024002143
25115,2024002142,2024-12-16,2024.0,322.0,Motor vehicle accident with injuries,,,9 - Outside or Special Property,962,"Residential street, road or residential driveway",5750 CLARK STATE Road,Gahanna,OH,43230,2024002142,2024,2024002142
25115,2024002141,2024-12-16,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,606 TIMBER VALLEY Drive,Pataskala,OH,43062,2024002141,2024,2024002141
25115,2024002140,2024-12-16,2024.0,745.0,"Alarm system activation, no fire - unintentional",2.0,Automatic aid received,1 - Assembly,142,Clubhouse,5189 CLARK STATE Road,Gahanna,OH,43230,2024002140,2024,2024002140
25115,2024002139,2024-12-15,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,8354 ALMOND PARK Drive,Blacklick,OH,43004,2024002139,2024,2024002139
25115,2024002138,2024-12-15,2024.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,1041 CLOVERLY Drive,Gahanna,OH,43230,2024002138,2024,2024002138
25115,2024002137,2024-12-15,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",581,Department or discount store,8163 East BROAD Street,Reynoldsburg,OH,43068,2024002137,2024,2024002137
25115,2024002136,2024-12-15,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7849 NARROW LEAF Drive,Blacklick,OH,43004,2024002136,2024,2024002136
25115,2024002135,2024-12-15,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7825 ASTRA Circle,Reynoldsburg,OH,43068,2024002135,2024,2024002135
25115,2024002134,2024-12-15,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,7849 NARROW LEAF Drive,Blacklick,OH,43004,2024002134,2024,2024002134
25115,2024002133,2024-12-15,2024.0,745.0,"Alarm system activation, no fire - unintentional",2.0,Automatic aid received,8 - Storage,891,Warehouse,8231 East BROAD Street,Reynoldsburg,OH,43068,2024002133,2024,2024002133
25115,2024002132,2024-12-14,2024.0,745.0,"Alarm system activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,7948 CREEK HOLLOW Road,Blacklick,OH,43004,2024002132,2024,2024002132
25115,2024002131,2024-12-14,2024.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,1996 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004,2024002131,2024,2024002131
25115,2024002130,2024-12-14,2024.0,735.0,Alarm system sounded due to malfunction,2.0,Automatic aid received,8 - Storage,891,Warehouse,8231 East BROAD Street,Reynoldsburg,OH,43068,2024002130,2024,2024002130
25115,2024002129,2024-12-14,2024.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,180 ROYAL FARM East,Blacklick,OH,43004,2024002129,2024,2024002129
25115,2024002128,2024-12-14,2024.0,611.0,Dispatched and cancelled en route,,,,,,7858 BLACKLICK VIEW Drive,Blacklick,OH,43004,2024002128,2024,2024002128
