Agency FDID,Basic Incident Number (FD1),Basic Incident Date Original (FD1.3),Basic Incident Year (FD1.3),Basic Incident Type Code (FD1.21),Basic Incident Type (FD1.21),Basic Aid Given Or Received Code (FD1.22),Basic Aid Given Or Received (FD1.22),Basic Property Use Category (FD1.46),Basic Property Use Code (FD1.46),Basic Property Use (FD1.46),Basic Incident Full Street Address,Basic Incident City Name (FD1.16),Basic Incident State (FD1.18),Basic Incident Postal Code (FD1.19)
25115,2025000171,1/24/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,East BROAD Street and N WAGGONER RD,COLUMBUS,OH,43004
25115,2025000170,1/24/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,906 CAROWAY Boulevard,Gahanna,OH,43230
25115,2025000169,1/24/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,125 VILLAGE GATE Boulevard,Reynoldsburg,OH,43068
25115,2025000168,1/23/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"5 - Mercantile, Business",571,"Service station, gas station",8271 East BROAD Street,Reynoldsburg,OH,43068
25115,2025000167,1/23/2025,2025,631,Authorized controlled burning,,None,9 - Outside or Special Property,951,Railroad right-of-way,North REYNOLDSBURG NEW ALBANY Road and  JEFFERSON TWP / WALN,Blacklick,OH,43004
25115,2025000166,1/23/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,7600 FODOR Road,New Albany,OH,43054
25115,2025000165,1/23/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,620 East BROAD Street,City of Pataskala,OH,43062
25115,2025000164,1/22/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,6398 SUMMIT Road Southwest,Pataskala,OH,43062
25115,2025000163,1/22/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7746 ASTRA Circle,Reynoldsburg,OH,43068
25115,2025000162,1/22/2025,2025,735,Alarm system sounded due to malfunction,,None,4 - Residential,419,1 or 2 family dwelling,1138 CONESTOGA VALLEY Court,Blacklick,OH,43004
25115,2025000161,1/22/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,771 CHESTNUT GROVE Drive,Blacklick,OH,43004
25115,2025000160,1/22/2025,2025,741,"Sprinkler activation, no fire - unintentional",,None,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230
25115,2025000159,1/22/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,8157 EQUITANA Way,Blacklick,OH,43004
25115,2025000158,1/22/2025,2025,311,"Medical assist, assist EMS crew",4,Automatic aid given,,,,831 ACORN GROVE Drive and waggoner rd,Blacklick,OH,43004
25115,2025000157,1/22/2025,2025,324,Motor vehicle accident with no injuries.,4,Automatic aid given,,,,North WAGGONER Road and N WAGGONER RD / E BROAD ST,Reynoldsburg,OH,43068
25115,2025000156,1/22/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,8403 ALMOND PARK Drive,Blacklick,OH,43004
25115,2025000155,1/22/2025,2025,554,Assist invalid,,None,4 - Residential,429,Multifamily dwelling,933 TAYLOR STATION Road,Gahanna,OH,43230
25115,2025000154,1/22/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,372 ARBORS Circle,Gahanna,OH,43230
25115,2025000153,1/22/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8270 HAVENS CORNERS Road,Blacklick,OH,43004
25115,2025000152,1/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8682 BOBWHITE Drive,Blacklick,OH,43004
25115,2025000151,1/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,US 62 and N STYGLER RD,GAHANNA,OH,43230
25115,2025000150,1/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,701 TECH CENTER Drive,Gahanna,OH,43230
25115,2025000149,1/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"7 - Manufacturing, Processing",700,"Manufacturing, Processing",8400 East BROAD Street,Blacklick,OH,43004
25115,2025000148,1/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8015 BEARDSLEY Avenue,Blacklick,OH,43004
25115,2025000147,1/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,429,Multifamily dwelling,702 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025000146,1/21/2025,2025,611,Dispatched and cancelled en route,,None,,,,8015 BEARDSLEY Avenue,Blacklick,OH,43004
25115,2025000145,1/21/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8015 BEARDSLEY Avenue,Blacklick,OH,43004
25115,2025000144,1/21/2025,2025,412,Gas leak (natural gas or LPG),4,Automatic aid given,,,,630 ACONITE Court,Blacklick,OH,43004
25115,2025000143,1/20/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,7751 LANTANA Avenue,Blacklick,OH,43004
25115,2025000142,1/20/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7274 JEFFERSON MEADOWS Drive,Blacklick,OH,43004
25115,2025000141,1/20/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230
25115,2025000140,1/20/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,6504 HAVENS CORNERS Road,Blacklick,OH,43004
25115,2025000139,1/20/2025,2025,324,Motor vehicle accident with no injuries.,,None,9 - Outside or Special Property,962,"Residential street, road or residential driveway","5747 CLARK STATE Road and CLARK STATE RD, JEFFERSON TWP",JEFFERSON TWP,OH,43230
25115,2025000138,1/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,220 SANDRALA Drive,Reynoldsburg,OH,43068
25115,2025000137,1/19/2025,2025,611,Dispatched and cancelled en route,,None,,,,6311 HAVENS CORNERS Road,Blacklick,OH,43004
25115,2025000136,1/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,8 - Storage,891,Warehouse,"8655 LIMITED Parkway and LIMITED PKWY, REYNOLDSBURG ( )",Reynoldsburg,OH,43068
25115,2025000135,1/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1148 POPPY HILLS Drive,Blacklick,OH,43004
25115,2025000134,1/19/2025,2025,745,"Alarm system activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,3097 MANN Road,Gahanna,OH,43230
25115,2025000133,1/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,JEFFERSON Run and snipe view / jefferson run,JEFFERSON TWP,OH,43004
25115,2025000132,1/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,8618 CROOKED MAPLE Drive,Blacklick,OH,43004
25115,2025000131,1/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1070 GOLDENEYE Drive,Blacklick,OH,43004
25115,2025000130,1/19/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,7594 ASDEN Court,Reynoldsburg,OH,43068
25115,2025000129,1/19/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8641 GREYLAG Street,Blacklick,OH,43004
25115,2025000128,1/18/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,6320 KITZMILLER Road,New Albany,OH,43054
25115,2025000127,1/18/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1188 BOHANNON Street,Blacklick,OH,43004
25115,2025000126,1/18/2025,2025,324,Motor vehicle accident with no injuries.,2,Automatic aid received,9 - Outside or Special Property,963,Street or road in commercial area,8301 East BROAD Street,Reynoldsburg,OH,43068
25115,2025000125,1/18/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,180 ROYAL FARM East,Blacklick,OH,43004
25115,2025000124,1/18/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,8303 ALBERTA Circle,Reynoldsburg,OH,43068
25115,2025000123,1/18/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7637 ELGIN TRAIL Drive,Blacklick,OH,43004
25115,2025000122,1/18/2025,2025,324,Motor vehicle accident with no injuries.,4,Automatic aid given,,,,4449 SUMMIT Road Southwest,Pataskala,OH,43062
25115,2025000121,1/17/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,2507 ASHCROFT Loop,Blacklick,OH,43004
25115,2025000120,1/17/2025,2025,531,Smoke or odor removal,,None,4 - Residential,419,1 or 2 family dwelling,1285 CANDORA Street,Blacklick,OH,43004
25115,2025000119,1/17/2025,2025,611,Dispatched and cancelled en route,,None,4 - Residential,419,1 or 2 family dwelling,7699 CLEAR CREEK Court,Blacklick,OH,43004
25115,2025000118,1/17/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7754 ASTRA Circle,Reynoldsburg,OH,43068
25115,2025000117,1/17/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5435 MORSE Road,Gahanna,OH,43230
25115,2025000116,1/17/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230
25115,2025000115,1/17/2025,2025,744,"Detector activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,2300 COLTS NECK Road,Blacklick,OH,43004
25115,2025000114,1/17/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,1245 BEECH Road Southwest,New Albany,OH,43054
25115,2025000113,1/16/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8096 WILLOW BROOK CROSSING Drive,Blacklick,OH,43004
25115,2025000112,1/16/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,429,Multifamily dwelling,704 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025000111,1/16/2025,2025,324,Motor vehicle accident with no injuries.,2,Automatic aid received,9 - Outside or Special Property,963,Street or road in commercial area,CLARK STATE Road and MANN RD,JEFFERSON TWP,OH,43004
25115,2025000110,1/16/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,4096 JOHNSTOWN Road,Gahanna,OH,43230
25115,2025000109,1/16/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8347 ALMOND PARK Drive,Blacklick,OH,43004
25115,2025000108,1/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7199 HAVENS CORNERS Road,Blacklick,OH,43004
25115,2025000107,1/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,841 TAYLOR STATION Road,Gahanna,OH,43230
25115,2025000106,1/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,8 - Storage,888,Fire station,6767 HAVENS CORNERS Road,Blacklick,OH,43004
25115,2025000105,1/15/2025,2025,600,"Good intent call, other",4,Automatic aid given,,,,443 MORRISON Road,Gahanna,OH,43230
25115,2025000104,1/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,991 East JOHNSTOWN Road,Gahanna,OH,43230
25115,2025000103,1/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,600 CROSS POINTE Road,Gahanna,OH,43230
25115,2025000102,1/15/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8967 PHILMONT CURVE Drive,Blacklick,OH,43004
25115,2025000101,1/14/2025,2025,6711,Odor of gas - nothing found,4,Automatic aid given,4 - Residential,419,1 or 2 family dwelling,3772 PEMBROOKE GREEN East,New Albany,OH,43054
25115,2025000100,1/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1167 WILLOW OAK Drive,Blacklick,OH,43004
25115,2025000099,1/14/2025,2025,500,"Service call, other",,None,9 - Outside or Special Property,961,Highway or divided highway,Taylor Station  and Estate View,Blacklick,OH,43004
25115,2025000098,1/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"5 - Mercantile, Business",559,"Recreational, hobby, home repair sales, pet store",8035 East BROAD Street,Reynoldsburg,OH,43068
25115,2025000097,1/14/2025,2025,324,Motor vehicle accident with no injuries.,,None,9 - Outside or Special Property,962,"Residential street, road or residential driveway","North WAGGONER Road and HAVENS CORNERS RD,",JEFFERSON TWP,OH,43004
25115,2025000096,1/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,605 CRESCENT,Gahanna,OH,43230
25115,2025000095,1/14/2025,2025,111,Building fire,2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,1885 DIXON Road,Blacklick,OH,43004
25115,2025000094,1/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,6245 BROOKSONG Circle,Blacklick,OH,43004
25115,2025000093,1/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7790 FREESIA Street,Blacklick,OH,43004
25115,2025000092,1/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1121 WILLOW BROOK CROSSING Court,Blacklick,OH,43004
25115,2025000091,1/14/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230
25115,2025000090,1/13/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,9 - Outside or Special Property,963,Street or road in commercial area,CLARK STATE Road and CLARK STATE RD / N WAGGONER RD,JEFFERSON TWP,OH,43054
25115,2025000089,1/13/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,380 GRANVILLE Street,Gahanna,OH,43230
25115,2025000088,1/13/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230
25115,2025000087,1/13/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,2021 BELANGEE Drive,Blacklick,OH,43004
25115,2025000086,1/13/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,4 - Residential,419,1 or 2 family dwelling,297 FARM CREEK Drive,Gahanna,OH,43230
25115,2025000085,1/13/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1431 MORRISON FARMS Drive East,Blacklick,OH,43004
25115,2025000084,1/13/2025,2025,735,Alarm system sounded due to malfunction,2,Automatic aid received,"7 - Manufacturing, Processing",700,"Manufacturing, Processing",6695 TAYLOR Road and Eastgate Parkway,Blacklick,OH,43004
25115,2025000083,1/13/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8311 MORSE Road,New Albany,OH,43054
25115,2025000082,1/12/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,6978 WYNFIELD Drive,Blacklick,OH,43004
25115,2025000081,1/12/2025,2025,424,Carbon monoxide incident,,None,4 - Residential,419,1 or 2 family dwelling,8323 FAIR OAK Drive,Blacklick,OH,43004
25115,2025000080,1/12/2025,2025,745,"Alarm system activation, no fire - unintentional",2,Automatic aid received,"5 - Mercantile, Business",579,"Motor vehicle or boat sales, services, repair",6751 TAYLOR Road,Blacklick,OH,43004
25115,2025000079,1/12/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,7751 LANTANA Avenue,Blacklick,OH,43004
25115,2025000078,1/12/2025,2025,745,"Alarm system activation, no fire - unintentional",2,Automatic aid received,"5 - Mercantile, Business",529,"Textile, wearing apparel sales",8173 East BROAD Street,Reynoldsburg,OH,43068
25115,2025000077,1/12/2025,2025,745,"Alarm system activation, no fire - unintentional",2,Automatic aid received,"5 - Mercantile, Business",569,"Professional supplies, services",537 North REYNOLDSBURG-NEW ALBANY Road,Blacklick,OH,43004
25115,2025000076,1/12/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8200 CREEK HOLLOW Road,Blacklick,OH,43004
25115,2025000075,1/11/2025,2025,743,"Smoke detector activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,7815 FREESIA Street,Blacklick,OH,43004
25115,2025000074,1/11/2025,2025,611,Dispatched and cancelled en route,2,Automatic aid received,,,,714 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025000073,1/11/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1165 BELHAVEN Drive,Blacklick,OH,43004
25115,2025000072,1/11/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1519 BENT MAPLE Drive,Blacklick,OH,43004
25115,2025000071,1/11/2025,2025,736,CO detector activation due to malfunction,,None,4 - Residential,419,1 or 2 family dwelling,7656 SCHNEIDER Way,Blacklick,OH,43004
25115,2025000070,1/11/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,460 WATERBURY Court,Gahanna,OH,43230
25115,2025000069,1/11/2025,2025,611,Dispatched and cancelled en route,,None,,,,WINDBROOK Drive and HAVENS CORNERS RD,JEFFERSON TWP,OH,43004
25115,2025000068,1/11/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1174 BELHAVEN Drive,Blacklick,OH,43004
25115,2025000067,1/10/2025,2025,324,Motor vehicle accident with no injuries.,,None,9 - Outside or Special Property,963,Street or road in commercial area,KENNEDY Road and GOLDENEYE DR,COLUMBUS,OH,43004
25115,2025000066,1/10/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,9 - Outside or Special Property,963,Street or road in commercial area,HAVENS CORNERS Road and TAYLOR STATION,JEFFERSON TWP,OH,43004
25115,2025000065,1/10/2025,2025,6711,Odor of gas - nothing found,,None,4 - Residential,419,1 or 2 family dwelling,2036 BELANGEE Drive,Blacklick,OH,43004
25115,2025000064,1/10/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,MORSE Road and SHULL RD,GAHANNA,OH,43054
25115,2025000063,1/10/2025,2025,651,"Smoke scare, odor of smoke",4,Automatic aid given,,,,333 IROQUOIS PARK Place,Gahanna,OH,43230
25115,2025000062,1/10/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,42 SCENIC Road,Blacklick,OH,43004
25115,2025000061,1/10/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,1080 CHALLIS SPRINGS Drive,New Albany,OH,43054
25115,2025000060,1/10/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,5211 FOREST Drive,New Albany,OH,43054
25115,2025000059,1/10/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7666 DEER PARK Way,Reynoldsburg,OH,43068
25115,2025000058,1/9/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1277 OAK HILL Road,Blacklick,OH,43004
25115,2025000057,1/9/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,961 JEFFERSON CHASE Way,Blacklick,OH,43004
25115,2025000056,1/9/2025,2025,322,Motor vehicle accident with injuries,,None,9 - Outside or Special Property,962,"Residential street, road or residential driveway",HAVENS Road and N REYNOLDSBURG NEW ALBANY,JEFFERSON TWP,OH,43004
25115,2025000055,1/9/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,36 MM I 270 SB - 36.4,Gahanna,OH,43230
25115,2025000054,1/9/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7801 ANSANTE Drive,New Albany,OH,43054
25115,2025000053,1/9/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,140 South HAMILTON Road,Gahanna,OH,43230
25115,2025000052,1/9/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,3600 PAMELA Drive,Gahanna,OH,43230
25115,2025000051,1/9/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,7801 ANSANTE Drive,New Albany,OH,43054
25115,2025000050,1/9/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,8200 CREEK HOLLOW Road,Blacklick,OH,43004
25115,2025000049,1/8/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,8589 OLD IVORY Way,Blacklick,OH,43004
25115,2025000048,1/8/2025,2025,131,Passenger vehicle fire,,None,9 - Outside or Special Property,962,"Residential street, road or residential driveway","TAYLOR Road and TAYLOR RD, GAHANNA / JACKSON",GAHANNA,OH,43004
25115,2025000047,1/8/2025,2025,324,Motor vehicle accident with no injuries.,4,Automatic aid given,,,,38 MM I 270 SB - 38.2,Gahanna,OH,43230
25115,2025000046,1/7/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,924 MAHLE Drive,Reynoldsburg,OH,43068
25115,2025000045,1/7/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,210 CEDAR Street,Pataskala,OH,43062
25115,2025000044,1/7/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,6253 HEADLEY HEIGHTS Court,Gahanna,OH,43230
25115,2025000043,1/7/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,396 ROCKY SPRINGS Drive,Blacklick,OH,43004
25115,2025000042,1/7/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,"5 - Mercantile, Business",549,Specialty shop,6033 TAYLOR Road,Gahanna,OH,43230
25115,2025000041,1/7/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1184 BELHAVEN Drive,Blacklick,OH,43004
25115,2025000040,1/7/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7891 MORSE Road,New Albany,OH,43054
25115,2025000039,1/7/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,7250 East BROAD Street,Blacklick,OH,43004
25115,2025000038,1/7/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,8131 WILLOW BROOK CROSSING Drive,Blacklick,OH,43004
25115,2025000037,1/7/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,7747 ASTRA Circle,Reynoldsburg,OH,43068
25115,2025000036,1/7/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1547 MORRISON FARMS Drive,Blacklick,OH,43004
25115,2025000035,1/6/2025,2025,151,"Outside rubbish, trash or waste fire",,None,9 - Outside or Special Property,965,Vehicle parking area,6303 HEADLEY Road,Gahanna,OH,43230
25115,2025000034,1/6/2025,2025,324,Motor vehicle accident with no injuries.,,None,9 - Outside or Special Property,962,"Residential street, road or residential driveway",8500 MC OWEN Road,Blacklick,OH,43004
25115,2025000033,1/6/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,2966 KNOLL Drive,Gahanna,OH,43230
25115,2025000032,1/6/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7752 CELOSIA Avenue,Blacklick,OH,43004
25115,2025000031,1/6/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,396 ROCKY SPRINGS Drive,Blacklick,OH,43004
25115,2025000030,1/6/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,407 GRANVILLE Street,Gahanna,OH,43230
25115,2025000029,1/6/2025,2025,735,Alarm system sounded due to malfunction,2,Automatic aid received,"7 - Manufacturing, Processing",700,"Manufacturing, Processing",6695 TAYLOR Road,Blacklick,OH,43004
25115,2025000028,1/6/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,396 ROCKY SPRINGS Drive,Blacklick,OH,43004
25115,2025000027,1/6/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,429,Multifamily dwelling,7742 STRICKLAND Drive,New Albany,OH,43054
25115,2025000026,1/5/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,6790 HARLEM Road,New Albany,OH,43054
25115,2025000025,1/5/2025,2025,154,Dumpster or other outside trash receptacle fire,,None,"5 - Mercantile, Business",529,"Textile, wearing apparel sales",8165 East BROAD Street,Reynoldsburg,OH,43068
25115,2025000024,1/5/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,795 HAWKS CREST Lane,Blacklick,OH,43004
25115,2025000023,1/5/2025,2025,554,Assist invalid,,None,4 - Residential,419,1 or 2 family dwelling,7777 ASTRA Circle,Reynoldsburg,OH,43068
25115,2025000022,1/5/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,3011 KNOLL Drive,Gahanna,OH,43230
25115,2025000021,1/5/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,511 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025000020,1/4/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,7155 CORSICA Avenue,Blacklick,OH,43004
25115,2025000019,1/4/2025,2025,322,Motor vehicle accident with injuries,4,Automatic aid given,,,,35 MM I 270 SB - 35.8,Gahanna,OH,43230
25115,2025000018,1/4/2025,2025,321,"EMS call, excluding vehicle accident with injury",4,Automatic aid given,,,,252 GREY Field,Blacklick,OH,43004
25115,2025000017,1/4/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8389 ALMOND PARK Drive,Blacklick,OH,43004
25115,2025000016,1/4/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7918 CHAMPAIGN Drive,Blacklick,OH,43004
25115,2025000015,1/4/2025,2025,622,No incident found on arrival at dispatch address,2,Automatic aid received,8 - Storage,807,Outside material storage area,8525 East BROAD Street,Reynoldsburg,OH,43068
